vehicle_id,scenario,total_distance,average_passengers,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_out,utilization_rate,reported_time,idling_time,moving_time,pick_up,drop_off,revenue_trips,rebalance_trips
s1.0,1,363.2283014,2.668487328,0.239344562,0.046792513,0.045706973,0.142342939,0.525813013,0,0.760655438,87514,14935,72579,444,444,444,22
s1.1,1,386.1817293,3.107370625,0.07939,0.060269704,0.104717394,0.184825471,0.57079743,0,0.92061,82164,4780,77384,480,480,480,21
s1.2,1,395.2222649,2.990438578,0.130695859,0.044643063,0.082877203,0.18709439,0.554689485,0,0.869304141,86598,6203,80395,500,500,500,14
s1.3,1,405.2385695,3.121513509,0.109518712,0.037572953,0.07335014,0.180992506,0.598565689,0,0.890481288,86871,6350,80521,527,527,527,15
s1.4,1,170.2585297,1.904901495,0.441511226,0.027299674,0.061411984,0.124330609,0.345446506,0,0.558488774,61063,26960,34103,216,216,216,22
s1.5,1,88.9687329,2.205399174,0.226678836,0.111393986,0.178259199,0.197185128,0.286482851,0,0.773321164,20818,1523,19295,94,94,94,25
s1.6,1,240.8285994,3.237413414,0.048340091,0.089246494,0.048023315,0.205440108,0.608949992,0,0.951659909,47352,0,47352,283,283,283,27
s1.7,1,104.9833546,0.842096188,0.758402685,0.013770748,0.020828544,0.041323739,0.165674284,0,0.241597315,86996,65978,21018,124,124,124,29
s1.8,1,372.772865,2.809304294,0.201745556,0.035402988,0.05544371,0.166617099,0.540790648,0,0.798254444,87422,13293,74129,455,455,455,5
s1.9,1,371.2418085,2.751393381,0.195325581,0.045838207,0.076756348,0.176276979,0.505802885,0,0.804674419,87198,13544,73654,417,417,417,25
s1.10,1,326.558613,2.346161852,0.302657446,0.048789231,0.069361889,0.158116891,0.421074543,0,0.697342554,86474,21826,64648,408,408,408,25
s1.11,1,410.9920118,3.009444924,0.10474547,0.066448087,0.096531493,0.179165948,0.553109002,0,0.89525453,86925,5083,81842,503,503,503,23
s1.12,1,356.2167372,2.714555153,0.221005982,0.038461983,0.064438865,0.157157238,0.518935931,0,0.778994018,86423,15932,70491,462,462,462,24
s1.13,1,374.3925625,2.558215925,0.219690293,0.055818159,0.117198677,0.161171071,0.4461218,0,0.780309707,87373,13357,74016,379,379,379,29
s1.15,1,348.1922159,3.392713827,0.041504242,0.031443476,0.061812084,0.223314607,0.64192559,0,0.958495758,69776,308,69468,469,469,469,3
s1.16,1,373.6610464,2.732967071,0.179632443,0.048463181,0.104087903,0.194937808,0.472878665,0,0.820367557,87551,13005,74546,432,432,432,30
s1.17,1,343.8099653,3.161921708,0.067265391,0.052876398,0.099293861,0.211799815,0.568764536,0,0.932734609,71374,2444,68930,416,416,416,26
s1.18,1,325.5728279,3.511641272,0.022940838,0.034092851,0.056334747,0.181647329,0.704984235,0,0.977059162,64383,51,64332,426,426,426,20
s1.19,1,128.1683503,3.039381541,0.083130065,0.086002046,0.089975608,0.190140845,0.550751436,0,0.916869935,25418,132,25286,127,127,127,22
s1.20,1,334.4952167,2.501020914,0.26354586,0.052360792,0.060147427,0.167418413,0.456527507,0,0.73645414,86687,20132,66555,392,392,392,8
s1.21,1,397.0623664,3.133236978,0.114447592,0.029658322,0.071885298,0.176227091,0.607781696,0,0.885552408,86485,7599,78886,539,539,539,20
s1.22,1,392.3016292,2.919416031,0.136501493,0.045642723,0.108317862,0.181014103,0.528523819,0,0.863498507,86717,8207,78510,471,471,471,1
s1.23,1,365.0020228,2.772702181,0.184515595,0.062770264,0.062977275,0.174970098,0.514766768,0,0.815484405,86952,7080,79872,425,425,425,22
s1.24,1,428.6747628,3.252977614,0.068768009,0.033771567,0.084399753,0.201836147,0.611224526,0,0.931231991,85723,461,85262,571,571,571,24
s1.25,1,406.8960074,3.074268524,0.103864426,0.03908564,0.09127339,0.210470073,0.555306471,0,0.896135574,86093,5533,80560,483,483,483,17
s1.26,1,0.057991561,0.036297641,0.963702359,0.036297641,0,0,0,0,0.036297641,551,531,20,2,2,2,8
s1.27,1,415.9400022,2.983562682,0.094242202,0.075744298,0.104592501,0.203050615,0.522370384,0,0.905757798,84442,1271,83171,440,440,440,19
s1.28,1,425.4172275,3.0817093,0.085052786,0.067018572,0.097808414,0.181407012,0.568713216,0,0.914947214,87334,614,86720,489,489,489,19
s1.29,1,408.8763836,3.030602365,0.120023514,0.045102469,0.084142096,0.18571198,0.565019941,0,0.879976486,86758,5860,80898,500,500,500,26
s1.30,1,365.7174647,3.465370279,0.011086444,0.045551718,0.075357671,0.202913446,0.66509072,0,0.988913556,72972,189,72783,457,457,457,22
s1.31,1,334.6641719,2.500200249,0.267121328,0.05328924,0.063072856,0.145301004,0.471215571,0,0.732878672,87391,21206,66185,393,393,393,25
s1.32,1,139.8616998,0.889334449,0.700244039,0.042689703,0.053597003,0.074426278,0.129042976,0,0.299755961,87281,59146,28135,151,151,151,24
s1.33,1,355.0219379,2.650921472,0.221501778,0.058902136,0.063573404,0.159218202,0.496804481,0,0.778498222,86058,11555,74503,432,432,432,20
s1.34,1,340.6874916,2.490224784,0.260138329,0.052242075,0.088368876,0.135757925,0.463492795,0,0.739861671,86750,19347,67403,401,401,401,9
s1.35,1,397.6068054,3.029281957,0.130962726,0.030265264,0.077772696,0.200525955,0.560473359,0,0.869037274,87460,3443,84017,553,553,553,22
s1.36,1,409.4744248,2.947733425,0.126248488,0.050630724,0.095847013,0.203686424,0.523587351,0,0.873751512,86805,4295,82510,458,458,458,23
s1.37,1,332.1368282,2.625550058,0.259125835,0.030871657,0.051300759,0.142730112,0.515971636,0,0.740874165,87718,21845,65873,400,400,400,6
s1.38,1,310.7826188,2.355984449,0.31371489,0.048837156,0.057762646,0.127119229,0.452566079,0,0.68628511,86942,25456,61486,357,357,357,16
s1.39,1,416.6128825,3.083043119,0.073971685,0.072870666,0.102933257,0.19659163,0.553632762,0,0.926028315,83559,397,83162,510,510,510,22
s1.40,1,393.6223248,3.086706809,0.118318666,0.043943956,0.056426586,0.195333488,0.585977304,0,0.881681334,86360,8383,77977,475,475,475,16
s1.41,1,406.2830537,3.08927338,0.090908044,0.041419165,0.106575494,0.20968596,0.551411337,0,0.909091956,86868,6214,80654,521,521,521,2
s1.42,1,354.8640707,2.686613343,0.224314166,0.038846744,0.069763711,0.160062338,0.507013041,0,0.775685834,87266,17152,70114,437,437,437,16
s1.43,1,398.8940218,3.034506532,0.115194135,0.043319889,0.079216795,0.21632367,0.545945511,0,0.884805865,87027,8120,78907,486,486,486,33
